Repository Name,Number of Files,Number of Rust Files,Rust Files to Total Files,Total SLOC,Rust SLOC,Rust SLOC to Total SLOC,Languages Used,'Unique' Crates
print-status-map,77,0,0.0,57343,0,0.0,"['', '.local', '.pack', '.md', '.png', '.idx', '.css', '.json', '.jpg', '.svg', '.ico', 'JavaScript', '.html', 'Python', '.sample']",[]
TH-Bot,32,0,0.0,752,0,0.0,"['', '.md', '.idx', '.pack', 'Python', '.sample']",[]
pausch-ui-backend,36,0,0.0,5841,0,0.0,"['', '.pack', '.idx', '.template', '.json', 'JavaScript', '.sample']",[]
scottypass,67,0,0.0,54798,0,0.0,"['', '.ejs', '.pack', '.md', '.png', '.idx', '.css', '.json', '.svg', 'TypeScript', 'JavaScript', '.sample']",[]
plane,54,0,0.0,2266,0,0.0,"['', '.md', '.idx', '.pack', '.html', '.txt', 'Python', '.sample']",[]
auto-onboard,66,0,0.0,18352,0,0.0,"['', '.pack', '.md', '.png', '.idx', '.css', '.lock', '.json', '.svg', 'TypeScript', '.ico', 'JavaScript', '.html', '.jsx', '.txt', '.sample']",[]
cmueats,163,0,0.0,43322,0,0.0,"['', '.example', '.tsx', '.toml', '.jpg', '.yml', '.lock', '.sample', '.webp', '.png', '.json', '.svg', '.idx', '.css', 'TypeScript', '.pack', '.html', '.xml', '.md', '.ico', '.txt']",[]
cmucourses,153,0,0.0,16161,0,0.0,"['', '.mjs', '.pack', '.md', '.tsx', '.css', '.idx', '.template', '.json', '.toml', '.svg', 'TypeScript', '.ico', '.lock', '.yml', '.prisma', '.cjs', '.sample']",[]
passlink-server,35,0,0.0,1222,0,0.0,"['', '.pack', '.idx', '.json', 'TypeScript', 'JavaScript', '.sample']",[]
passlink,33,0,0.0,1026,0,0.0,"['', '.pack', '.idx', '.json', 'TypeScript', 'JavaScript', '.sample']",[]
web,145,0,0.0,712807,0,0.0,"['', '.scss', '.pack', '.md', '.png', '.jpeg', '.tsx', '.idx', '.json', '.toml', '.jpg', '.svg', 'JavaScript', 'TypeScript', '.lock', '.pdf', '.yml', '.sample']",[]
moneyprinter,56,0,0.0,4914,0,0.0,"['', '.md', '.png', '.idx', '.css', '.pack', '.html', '.ipynb', '.txt', 'Python', '.sample']",[]
scottylol,99,0,0.0,2737,0,0.0,"['', '.mjs', '.pack', '.md', '.tsx', '.css', '.idx', '.json', '.toml', '.yaml', 'TypeScript', '.yml', '.lock', '.xml', '.cjs', '.sample']",[]
lost-and-found,131,0,0.0,29004,0,0.0,"['', '.example', '.tsx', '.toml', '.yml', '.lock', '.cjs', '.sample', '.png', '.json', '.svg', '.idx', '.css', 'TypeScript', '.pack', '.sql', '.mjs', '.md', '.sh', '.prisma']",[]
roomies,122,0,0.0,10345,0,0.0,"['', '.mjs', '.pack', '.md', '.example', '.tsx', '.css', '.idx', '.json', 'TypeScript', '.ico', '.lock', '.prisma', '.cjs', '.sample']",[]
Go-v2,87,0,0.0,14623,0,0.0,"['', '.mjs', '.pack', '.md', '.example', '.tsx', '.css', '.idx', '.json', '.svg', 'TypeScript', '.lock', '.prisma', '.cjs', '.sample']",[]
tartanhack_dashboard_v3,187,0,0.0,88224,0,0.0,"['', '.xcsettings', '.woff2', '.dart', '.lock', '.sample', '.woff', '.png', 'C Header', '.plist', '.xcscheme', '.ttf', '.eot', '.json', '.svg', '.idx', '.css', '.storyboard', 'Swift', '.pack', '.html', '.xml', '.pbxproj', '.md', '.gradle', '.kt', '.xcworkspacedata', '.yaml', '.xcconfig', '.properties', '.txt']",[]
pdf-23,59,0,0.0,79055,0,0.0,"['', '.pack', '.md', '.png', '.tsx', '.css', '.gif', '.idx', '.json', '.jpg', '.svg', 'TypeScript', '.ico', 'JavaScript', '.lockb', '.sample']",[]
pdf-css,31,0,0.0,891,0,0.0,"['', '.md', '.idx', '.css', '.pack', '.html', '.sample']",[]
pdf-html,37,0,0.0,67275,0,0.0,"['', '.md', '.idx', '.pdf', '.pack', '.html', '.sample']",[]
lend-it-test,66,0,0.0,4038,0,0.0,"['', '.mjs', '.pack', '.md', '.tsx', '.css', '.idx', '.json', '.svg', 'TypeScript', '.lock', '.sqlite', '.prisma', '.cjs', '.sample']",[]
tartanhacks_dashboard_v4,282,0,0.0,40048,0,0.0,"['', '.example', '.tsx', '.yml', '.cjs', '.sample', '.png', '.json', '.svg', 'JavaScript', '.idx', '.css', '.mjml', 'TypeScript', '.pack', '.hbs', '.md', '.yaml', '.ico']",[]
nova,122,0,0.0,108482,0,0.0,"['', '.gz_', '.pack', '.md', '.png', '.ttf', '.tsx', '.css', '.idx', '.json', '.yaml', '.svg', 'TypeScript', 'JavaScript', '.html', '.sample']",[]
SuperStarter,62,0,0.0,9186,0,0.0,"['', '.pack', '.md', '.tsx', '.css', '.idx', '.json', '.svg', 'TypeScript', '.ico', 'JavaScript', '.prisma', '.cjs', '.sample']",[]
nova-sdk-swift,37,0,0.0,23593,0,0.0,"['', '.resolved', '.md', '.idx', 'Swift', '.yaml', '.pack', '.sample']",[]
nova-sdk-server,39,0,0.0,1199,0,0.0,"['', '.md', '.idx', '.pack', '.txt', 'Python', '.sample']",[]
nova-js-sdk,32,0,0.0,1101,0,0.0,"['', '.pack', '.md', '.idx', '.json', 'JavaScript', '.sample']",[]
nova-python-sdk,37,0,0.0,1146,0,0.0,"['', '.md', '.idx', '.yml', '.pack', '.txt', 'Python', '.sample']",[]
cmucal,210,0,0.0,23743,0,0.0,"['', '.pack', '.md', '.example', '.png', '.tsx', '.css', '.idx', '.json', '.svg', 'TypeScript', '.ico', 'JavaScript', '.cjs', '.sample']",[]
cmumaps,713,10,0.014025245441795231,1207061,989,0.0008193455011801392,"['', '.tsx', '.toml', '.jpg', '.yml', '.lock', '.sample', '.png', '.json', '.svg', '.txt', 'Python', 'Rust', '.idx', '.css', 'TypeScript', '.pack', '.html', '.sql', '.code-workspace', '.md', '.sh', '.yaml', '.prisma']",[]
cmu-purity-test,42,0,0.0,1499,0,0.0,"['', '.pack', '.md', '.tsx', '.css', '.idx', '.json', '.lock', '.sample']",[]
courses-backend,97,45,0.4639175257731959,114254,4496,0.039350919880266774,"['', '.pack', '.md', '.example', '.csv', '.idx', '.json', '.0', '.toml', '.hurl', '.lock', '.sample', 'Rust']","['chrono', 'dotenvy', 'futures', 'sea-orm', 'serde_json']"
.github,28,0,0.0,725,0,0.0,"['', '.md', '.idx', '.pack', '.sample']",[]
akita,63,0,0.0,2855,0,0.0,"['', '.probe', '.idx', '.bat', '.sh', '.lock', '.json', '.kt', '.jar', '.xml', '.properties', '.yml', '.pack', '.bin', '.kts', 'Python', '.sample']",[]
shepherd,32,0,0.0,1356,0,0.0,"['', '.md', '.idx', '.json', '.yml', '.pack', '.sample']",[]
documentation,40,0,0.0,3337,0,0.0,"['.mjs', '', '.webp', '.md', '.pack', '.idx', '.mdx', '.json', '.svg', 'TypeScript', '.lock', '.sample']",[]
governance,65,8,0.12307692307692308,4464,808,0.18100358422939067,"['', '.pack', '.md', '.example', '.idx', '.sh', '.json', '.toml', '.yml', '.lock', '.html', '.sample', 'Rust']",[]
python-template,39,0,0.0,1418,0,0.0,"['', '.pack', '.md', '.idx', '.json', '.toml', '.yaml', '.yml', '.lock', 'Python', '.sample']",[]
mcp,39,0,0.0,1395,0,0.0,"['', '.pack', '.md', '.idx', '.json', '.toml', '.yaml', '.yml', '.lock', 'Python', '.sample']",[]
scottylabs.org,568,0,0.0,3929644,0,0.0,"['', '.woff2', '.mts', '.tsx', '.jpg', '.yml', '.sample', '.webp', '.woff', '.png', '.ttf', '.eot', '.json', '.svg', 'JavaScript', 'Python', '.idx', '.css', 'TypeScript', '.pack', '.sql', '.md', '.jpeg', '.yaml']",[]
cmumaps-rust,42,6,0.14285714285714285,1894,318,0.1678986272439282,"['', '.pack', '.md', '.idx', '.toml', '.yaml', '.lock', '.sample', 'Rust']",[]
cmumaps-data-acquisitor,39,0,0.0,1774,0,0.0,"['', '.md', '.idx', '.pack', 'Python', '.sample']",[]
beagle,35,1,0.02857142857142857,4491,124,0.027610777109775105,"['', '.pack', '.md', '.example', '.idx', '.0', '.toml', '.lock', '.sample', 'Rust']","['axum', 'dotenv_codegen', 'env_logger', 'http-body-util', 'log', 'poise', 'slack-morphism']"
mem-cho-cmueats-slack-bot,66,0,0.0,6082,0,0.0,"['', '.md', '.idx', '.json', '.yaml', 'TypeScript', '.yml', '.pack', '.sample', '.sql']",[]
wiki-redirect,28,0,0.0,737,0,0.0,"['', '.idx', '.pack', '.html', '.sample']",[]
authentik,43,0,0.0,6821,0,0.0,"['', '.woff', '.png', '.woff2', '.ttf', '.eot', '.css', '.idx', '.pack', 'Python', '.sample']",[]
corgi,69,0,0.0,2886,0,0.0,"['', '.pack', '.md', '.tsx', '.css', '.idx', '.json', '.0', '.svg', 'TypeScript', '.yml', '.lock', '.sample']",[]
sp,33,1,0.030303030303030304,3271,257,0.07856924487924183,"['', '.pack', '.md', '.idx', '.toml', '.lock', '.sample', 'Rust']","['axum', 'base64', 'chrono', 'dotenvy', 'jsonwebtoken', 'openssl', 'openssl-probe', 'reqwest', 'samael', 'urlencoding']"
quest,332,46,0.13855421686746988,109095,4027,0.036912782437325264,"['', '.xcsettings', '.example', '.tsx', '.bat', '.conf', '.toml', '.yml', '.lock', '.icns', '.mm', '.sample', '.png', '.plist', '.xcscheme', 'C Header', '.json', '.svg', 'Rust', '.idx', '.css', '.storyboard', '.entitlements', '.0', '.pro', 'TypeScript', '.pack', '.html', '.xml', '.pbxproj', '.md', '.gradle', '.jar', '.kt', '.xcworkspacedata', '.properties', '.ico', '.kts']",[]
applications,133,0,0.0,2439,0,0.0,"['', '.md', '.idx', '.sh', '.json', '.toml', '.yml', '.pack', '.sample']",[]
courses-frontend,66,0,0.0,9707,0,0.0,"['.mjs', '', '.pack', '.md', '.png', '.tsx', '.css', '.idx', '.json', 'TypeScript', '.ico', '.lock', '.html', '.txt', '.sample']",[]
courses-data,36,2,0.05555555555555555,1481,143,0.09655638082376772,"['', '.pack', '.md', '.idx', '.toml', '.lock', '.html', '.sample', 'Rust']","['bincode', 'bm25', 'json', 'wasm-bindgen', 'wasm-bindgen-futures']"
terrier-submission,43,10,0.23255813953488372,1706,841,0.49296600234466587,"['', '.md', '.abc', '.idx', '.json', '.toml', '.yml', '.pack', '.sample', 'Rust']","['git2', 'serde_json', 'uuid', 'zip']"
mcp-server,42,0,0.0,5888,0,0.0,"['', '.pack', '.md', '.idx', '.toml', '.lock', 'Python', '.sample']",[]
cmugpt-finetuning,17,0,0.0,704,0,0.0,"['', '.sample']",[]
dalmatian,45,0,0.0,1691,0,0.0,"['', '.md', '.example', '.idx', '.json', '.yaml', 'TypeScript', '.pack', '.sample']",[]
terrier,202,24,0.1188118811881188,27910,1082,0.038767466857757074,"['', '.svelte', '.example', '.xcsettings', '.bat', '.conf', '.toml', '.yml', '.lock', '.icns', '.mm', '.sample', '.png', '.plist', 'C Header', '.xcscheme', '.json', 'JavaScript', 'Rust', '.idx', '.css', '.storyboard', '.entitlements', '.0', '.pro', 'TypeScript', '.jsonc', '.pack', '.html', '.xml', '.code-workspace', '.pbxproj', '.md', '.sh', '.gradle', '.jar', '.xcworkspacedata', '.properties', '.ico', '.kts']",[]
cmugpt-backend,39,0,0.0,1390,0,0.0,"['', '.pack', '.md', '.idx', '.json', '.toml', '.yaml', '.yml', '.lock', 'Python', '.sample']",[]
devops-config,40,0,0.0,1237,0,0.0,"['.code-workspace', '', '.jsonc', '.md', '.pack', '.idx', '.json', '.0', 'TypeScript', '.lock', '.sample']",[]
doberman,37,0,0.0,1557,0,0.0,"['', '.md', '.idx', '.yml', '.pack', '.sample']",[]
Rust-Scanner,138,0,0.0,1990,0,0.0,"['.code-workspace', '', '.jsonc', '.md', '.pack', '.csv', '.idx', '.json', '.0', 'TypeScript', '.lock', '.txt', 'Python', '.sample']",[]
